"bootstrap","lambda_min","coef_Intercept","coef_Depth","coef_temperature"
248,0.00849323539760514,7.34491049891824,-0.721871833424115,0.00967804933616634
249,0.00410808863220287,7.42845807110001,-0.756638071715697,0.0071454130707953
250,0.00230237909898472,7.4102919449686,-0.753948569256887,0.00810567144824974
251,0.0015185135312441,7.36279511496797,-0.741518611812605,0.0100124120984072
252,0.00145146431660517,7.34244002576747,-0.758968121526735,0.0129068177843687
253,0.00156884560935108,7.3952036579617,-0.765528179999379,0.00968713155795349
254,0.00356903579532721,7.37523772334273,-0.729811738554484,0.00769200623843958
255,0.00165799145587098,7.45145261258497,-0.731593968842309,0.00473112505369996
256,0.00164606508595959,7.45765302975526,-0.756443493216304,0.00728662524904411
257,0.00328837483824819,7.43784665689654,-0.776246858348955,0.0105749308507669
258,0.00459487365268559,7.34416945958783,-0.711355434086287,0.00665630252402589
259,0.00156571362556866,7.4225060083781,-0.759755205351827,0.0079497234957309
260,0.0015003170379949,7.36977984052112,-0.720161311664454,0.00806997618867875
261,0.00396370727756881,7.33774905907024,-0.749956516933492,0.00845749511764627
262,0.00170553937908117,7.38103570459064,-0.709205682196289,0.00539309278142568
263,0.00238441679649032,7.47161523088436,-0.788012491611871,0.00974870830349154
264,0.00155884198779349,7.36956893789989,-0.736547629706339,0.00827137399291675
265,0.00165704520947612,7.38593321588657,-0.731508087037636,0.00729653181304322
266,0.0015490041653909,7.36934445837129,-0.725776668590753,0.00677516930663132
267,0.00453076349288414,7.37417277258756,-0.737335959265381,0.00600099528971702
268,0.00153885315444308,7.38826693009247,-0.738659505560517,0.00875632639170132
269,0.00162730861895796,7.46313109814732,-0.785757014787149,0.00986107909708021
270,0.00156302137540348,7.39364566875888,-0.723118306335372,0.00654107989904569
271,0.00154844932231677,7.35609125299501,-0.745972558056299,0.00931274696563332
272,0.0044134096735553,7.40733436960271,-0.74833488482899,0.0086725172065695
273,0.00164300924041722,7.44071229299079,-0.77343922965062,0.00822346739476846
274,0.00152410838500326,7.38769200829091,-0.74111108909859,0.00872428284924538
275,0.00197820345754696,7.34872469244688,-0.733078649327893,0.00903610497152863
276,0.00157853116224479,7.40036375192004,-0.756079638267187,0.00743643990522024
277,0.0015797096745631,7.4283687091561,-0.754154149275228,0.0089727988961857
278,0.00478323325560495,7.3628003556322,-0.736222105680583,0.00784595931237869
279,0.00160236469463485,7.39504964434628,-0.750067761828961,0.00792499966339146
280,0.00260412533245391,7.32173624103019,-0.682368066355837,0.00554462493977841
281,0.00545490803730056,7.43275054375337,-0.754039434182353,0.00783073705441975
282,0.00156826753139698,7.42947950834516,-0.723761770332657,0.00583718292112536
283,0.00151875387507561,7.36607283617137,-0.72469606921984,0.00909546964368182
284,0.00163029338768393,7.38552052141703,-0.751455326554225,0.00733001342776757
285,0.00159514237086966,7.40566720821876,-0.756105728013466,0.00884229047416755
286,0.0114553285069623,7.37771441360559,-0.753569823568769,0.00895932268488589
287,0.00158562237366909,7.37399985877748,-0.740001211778431,0.00712894932770348
288,0.00156308463396607,7.37776530552128,-0.761285758786332,0.00986841633635377
289,0.00157304602986458,7.38161906364935,-0.768699443325929,0.010283563703487
290,0.00152215730882055,7.38184736951454,-0.735549873147328,0.00878963158620994
291,0.00152771759342793,7.33441138036672,-0.744358765578571,0.00940362122696352
292,0.00152279033074245,7.35055121953729,-0.703423055149459,0.00534385784420436
293,0.00159218450809592,7.42414255990327,-0.757571687730129,0.00777374224421513
294,0.00161420788336587,7.40338661906068,-0.735744520727899,0.00536725641597564
295,0.00156484322471832,7.42148085313414,-0.776357618349364,0.0106697046930121
296,0.00156464245002381,7.37467597579401,-0.701795678645963,0.00377516014922419
297,0.0015467997989955,7.41610991793073,-0.734164023610012,0.00730270976264212
298,0.00432616831716575,7.3728949612694,-0.717531004575733,0.0068549294726064
299,0.00161285721453661,7.41298676834732,-0.716222407850446,0.00436733693799668
300,0.00159661527514938,7.39057837153009,-0.759246647280425,0.00801220893350495
301,0.00340893194871469,7.42601018495624,-0.752719152402838,0.00763988070286655
302,0.00155855708476818,7.40552741267947,-0.762202271756582,0.0106882758213671
303,0.00325053941060637,7.37860981847255,-0.742724560790742,0.00863801023495457
304,0.0538316735239678,7.27298208997956,-0.599250460666628,0
305,0.00162503415496537,7.42697476603379,-0.783320628330422,0.00889571016637182
306,0.00177127347924863,7.42751374845015,-0.79478835577762,0.00994514259722286
307,0.00155796295152881,7.41140342430246,-0.755611486103552,0.00930264753204558
308,0.00218155913290213,7.35566976975245,-0.733236519358002,0.0089858196616174
309,0.00160003532942084,7.42800619558967,-0.756680214795111,0.00764341870862905
310,0.00160031197754347,7.40406908472361,-0.762659924480085,0.00892872053064998
311,0.00163843306459622,7.4233543821638,-0.754214295340791,0.00619365139924766
312,0.00156854019222417,7.38642457913427,-0.719298485577584,0.006308596538873
313,0.00146744219134932,7.36052353590861,-0.681962097616554,0.00578713320426658
314,0.00174290517437986,7.42729976975587,-0.803608592796968,0.0113550161722636
315,0.0024682197234005,7.35076875021462,-0.731650834698197,0.00713151901501574
316,0.0015603596580203,7.40503575370911,-0.729276276294867,0.00635186132852427
317,0.00168810193617083,7.37098715005346,-0.711068459941831,0.00588263544193937
318,0.00269596699604792,7.35462879460572,-0.716736913307961,0.00645735119095556
319,0.00159544643129039,7.43799213734631,-0.7764191777827,0.00997631065008579
320,0.00162697809205555,7.39843821326819,-0.754626702400324,0.00774680671370498
321,0.00149102465886546,7.34637084429812,-0.694803748470341,0.00589221390098247
322,0.00213178463677349,7.44063092963079,-0.766072860243974,0.00852514379355397
323,0.0470772183078638,7.25427756782849,-0.576656539945582,0
324,0.0015749436622845,7.3799925521471,-0.757884272503851,0.00950609772993504
325,0.00177793685088004,7.42443496147517,-0.779202914063857,0.010338967420015
326,0.00159171660725674,7.38705217365262,-0.774847364470751,0.0103283107330552
327,0.00533733441587309,7.39574912206925,-0.708798475967047,0.00520287516307319
328,0.00496777832478423,7.41958000703009,-0.771670828869585,0.00971215258967047
