RTP-BZ-400-05,Volcanos,YoungRift,LithoRef18-1deg,gradient,Trench,TopoI1,Transform,MeanCurvature-TopoIso-corr,Susceptibility-Sz-LitMod-Aus17-Afr,Ridge,binned-SL2013-2deg,lon,lat,Depth2Moho,VP1,VP2,VP3,VS1,VS2,VS3,Hcc,is_land,maxdepth,maxdepth_sd,volume
-0.84279257059025,1229.25244141,548.799987793,124.709846497,87.0,1101.0,-4438.41552734,1089.0,-0.0152246520668279,0.0287147286580937,1123.0,6.0,-26.5,-70.5,12.4,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,4.5075,False,1.354764638346728,0.4402440680110883,5604.095198382938
4.565195798875,1579.69177246,975.0,159.003158569,12.15,1444.0,-331.365692139,1250.0,0.01134681195021,0.0224612972233375,1250.0,,-5.5,-70.5,29.0,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,28.5182,False,5.592417061611374,7.501790166438309,23133.492501381697
2.7065927386275,646.72442627,461.299987793,116.012138367,69.0,3851.0,-4079.69189453,1375.0,-0.03502840176224,0.0328646628186125,439.299987793,,-173.5,-69.5,11.1,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,5.8412,False,1.7076700434153402,0.6994774661190708,7410.980160573265
5.638400673865,1510.65368652,1060.0,138.245361328,15.15,1376.0,-1838.77661133,1164.0,-0.0032637062901599,0.0118865161202812,1164.0,,-5.5,-69.5,17.4,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,14.8465,False,5.592417061611374,7.501790166438309,24270.08194765936
-1.7395434975625,2426.38916016,901.700012207,188.620544434,-12.5,3024.0,-280.649536133,2757.0,-0.0015444495039994,0.0128679330809975,1903.0,,38.5,-69.5,34.7,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,34.2206,False,5.592417061611374,7.501790166438309,24270.08194765936
-1.2489647567275,2463.21679688,866.700012207,187.047210693,179.666666666667,3062.0,-31.5180034637,2795.0,-0.0012915220193113,0.0186355980695206,1922.0,,39.5,-69.5,36.0,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,35.9302,False,0.7242670376659754,0.12582393089243016,3143.1883857168655
-3.069884479045,1822.48852539,52.9599990845,181.111740112,121.0,4272.0,-656.012451172,3773.0,0.0053791228309271,0.015697784489025,2713.0,,74.5,-69.5,28.7,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,27.8887,False,0.9744013212221305,0.22774116429290817,4228.726086668972
2.9540776014325,680.78515625,536.299987793,117.00479126,104.0,3736.0,-4120.33935547,1291.0,-0.0371090045571319,0.0339623079635187,323.200012207,4.0,-174.5,-68.5,11.0,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,6.5453,False,1.133525456292027,0.3081969694033576,5148.17268182879
-2.75634455681,328.810424805,539.5,62.4019966125,83.1,1440.0,-3572.88037109,1443.0,-0.0093587786145439,0.0357183490414312,1064.0,5.0,-82.5,-68.5,13.1,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,7.2586,False,1.418269230769231,0.4824842825443788,6441.4035598362625
-2.5287940502175,368.730743408,523.5,56.7071418762,80.0,1415.0,-3660.89306641,1417.0,-0.0084527283534415,0.035447495058175,1026.0,,-81.5,-68.5,13.3,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,7.4085,False,1.4731585518102372,0.5205528046246811,6690.696331814944
-5.31291270256,1711.48510742,-79.6800003052,180.086502075,83.2,4280.0,-622.866577148,3901.0,0.006163115948438,0.0143290465348437,2691.0,,72.5,-68.5,26.4,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,21.4776,False,1.4165666266506602,0.48132655222953535,6433.670782453505
-6.463564515115,1798.32739258,1512.0,119.353713989,75.1,2453.0,-4436.52197266,2166.0,-0.014183061793448,0.0224729713518187,1554.0,,23.5,-67.5,14.1,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,5.0395,False,1.569148936170213,0.5906009506564057,7441.32414072736
-6.6294429302225,1600.45471191,-45.4000015259,175.38168335,81.15,4350.0,-617.041687012,3965.0,0.0083731986396032,0.0106823882087937,2616.0,,72.5,-67.5,26.8,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,21.4022,False,1.4523076923076923,0.5059214390532545,6887.231697017814
0.4627585336565,665.441040039,1087.0,112.247718811,67.0,2089.0,-4705.57275391,2206.0,-0.010501384139068,0.0355986941140062,1449.0,,-105.5,-66.5,12.7,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,6.7768,False,1.7585692995529063,0.7417965045386806,8689.715630263932
-0.9808506965655,423.60736084,1041.0,114.526550293,42.85,1808.0,-4691.67626953,1902.0,-0.015437583886072,0.0364756265189562,1685.0,6.0,-98.5,-66.5,12.7,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,6.748,False,2.747380675203725,1.8105206666115536,13575.783906652148
-3.28778284788,337.458251953,795.0,91.3438873291,55.8,1355.0,-4426.49462891,1384.0,-0.011354548297824,0.0369880665093687,1140.0,,-85.5,-66.5,12.5,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,7.1934,False,2.110912343470483,1.0688240245006897,10430.76777800912
0.5620899423955,589.70300293,421.5,59.2168579102,65.75,1036.0,-3504.08105469,1010.0,-0.0001939030716314,0.02636504202383,585.200012207,4.0,-72.5,-66.5,17.6,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,11.8691,False,1.791951404707669,0.7702261588283352,8854.668470625815
-1.34875562787,844.919372559,970.900024414,111.327896118,74.0,746.200012207,-4716.58837891,620.400024414,0.0005295361761814,0.0371247669681875,705.099975586,,-33.5,-66.5,12.8,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,6.3688,False,1.5924426450742242,0.6082658114194446,7868.824814989337
-7.8721984624875,1862.86987305,1466.0,118.004859924,51.0,2640.0,-4609.87060547,2347.0,-0.0123346348106879,0.024380599497825,1447.0,6.0,27.5,-66.5,14.4,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,5.9642,False,2.309197651663405,1.2790514742207635,11410.565925454204
