Latitude,Longitude,Mean_Temperature_C
-89.5,149.5,-43.18849625
-89.5,150.5,-43.1872539375
-89.5,151.5,-43.1843660625
-89.5,152.5,-43.181183625
-89.5,153.5,-43.1778965
-89.5,154.5,-43.1743680625
-89.5,155.5,-43.170643875
-89.5,156.5,-43.1657105625
-89.5,157.5,-43.1593425
-89.5,158.5,-43.1528415625
-89.5,159.5,-43.14511125
-89.5,160.5,-43.136201125
-89.5,161.5,-43.1267901875
-89.5,162.5,-43.11743075
-89.5,163.5,-43.108093375
-89.5,164.5,-43.100210187500004
-89.5,165.5,-43.0923261875
-89.5,166.5,-43.0843305625
-89.5,167.5,-43.0760900625
-89.5,168.5,-43.0677574375
-89.5,169.5,-43.058980125
-89.5,170.5,-43.049039875
-89.5,171.5,-43.0402535
-89.5,172.5,-43.03147425
-89.5,173.5,-43.0237126875
-89.5,174.5,-43.016601625
-89.5,175.5,-43.0093280625
-89.5,176.5,-43.0019311875
-89.5,177.5,-42.99442475
-89.5,178.5,-42.9865216875
-89.5,179.5,-42.97775275
-88.5,-179.5,-42.9227808125
-88.5,-178.5,-42.900656625
-88.5,-177.5,-42.878521125
-88.5,-176.5,-42.8565389375
-88.5,-175.5,-42.835744375
-88.5,-174.5,-42.8158746875
-88.5,-173.5,-42.79352875
-88.5,-172.5,-42.763479375
-88.5,-171.5,-42.7322895
-88.5,-170.5,-42.7020978125
-88.5,-169.5,-42.6706240625
-88.5,-168.5,-42.639210812500004
-88.5,-167.5,-42.61032175
-88.5,-166.5,-42.5803734375
-88.5,-165.5,-42.53878875
-88.5,-164.5,-42.4956685
-88.5,-163.5,-42.4523209375
-88.5,-162.5,-42.40372925
-88.5,-161.5,-42.3560993125
-88.5,-160.5,-42.3089799375
-88.5,-159.5,-42.2687270625
-88.5,-158.5,-42.2314980625
-88.5,-157.5,-42.191538
-88.5,-156.5,-42.14695375
-88.5,-155.5,-42.10006625
-88.5,-154.5,-42.0542296875
-88.5,-153.5,-42.0115365
-88.5,-152.5,-41.97299275
-88.5,-151.5,-41.9374779375
-88.5,-150.5,-41.9058943125
-88.5,-149.5,-41.8711653125
-88.5,-148.5,-41.8345958125
-88.5,-147.5,-41.7970905625
-88.5,-146.5,-41.7619315
-88.5,-145.5,-41.7292280625
-88.5,-144.5,-41.698874187499996
-88.5,-143.5,-41.6747864375
-88.5,-142.5,-41.6552733125
-88.5,-141.5,-41.6365375
-88.5,-140.5,-41.618224125
-88.5,-139.5,-41.59824575
-88.5,-138.5,-41.5781766875
-88.5,-137.5,-41.5591125625
-88.5,-136.5,-41.5498143125
-88.5,-135.5,-41.5507413125
-88.5,-134.5,-41.5555541875
-88.5,-133.5,-41.5569371875
-88.5,-132.5,-41.55723275
-88.5,-131.5,-41.5565491875
-88.5,-130.5,-41.55317175
-88.5,-129.5,-41.5527050625
-88.5,-128.5,-41.5512181875
-88.5,-127.5,-41.5510234375
-88.5,-126.5,-41.545260375
-88.5,-125.5,-41.540406125000004
-88.5,-124.5,-41.53647825
-88.5,-123.5,-41.528614875
-88.5,-122.5,-41.5205070625
-88.5,-121.5,-41.5135400625
-88.5,-120.5,-41.5000304375
-88.5,-119.5,-41.4821988125
-88.5,-118.5,-41.4664401875
-88.5,-117.5,-41.453166125
-88.5,-116.5,-41.4429004375
-88.5,-115.5,-41.4330035625
-88.5,-114.5,-41.424297625
-88.5,-113.5,-41.40934325
-88.5,-112.5,-41.3930063125
-88.5,-111.5,-41.377367875
-88.5,-110.5,-41.3642586875
-88.5,-109.5,-41.353524
-88.5,-108.5,-41.3441265625
-88.5,-107.5,-41.3319700625
-88.5,-106.5,-41.315244375
-88.5,-105.5,-41.298106187500004
-88.5,-104.5,-41.2819414375
-88.5,-103.5,-41.2685125625
-88.5,-102.5,-41.256114124999996
-88.5,-101.5,-41.2449131875
-88.5,-100.5,-41.232840625
-88.5,-99.5,-41.2210500625
-88.5,-98.5,-41.208782125
-88.5,-97.5,-41.1997280625
-88.5,-96.5,-41.1951505
-88.5,-95.5,-41.1917924375
-88.5,-94.5,-41.1900338125
-88.5,-93.5,-41.19313525
-88.5,-92.5,-41.1983620625
-88.5,-91.5,-41.2054553125
-88.5,-90.5,-41.216654375
-88.5,-89.5,-41.2291974375
-88.5,-88.5,-41.242400375
-88.5,-87.5,-41.2532749375
-88.5,-86.5,-41.263998
-88.5,-85.5,-41.2776173125
-88.5,-84.5,-41.293242375
-88.5,-83.5,-41.3093050625
-88.5,-82.5,-41.3265884375
-88.5,-81.5,-41.342
-88.5,-80.5,-41.356527375
-88.5,-79.5,-41.36792
-88.5,-78.5,-41.372101125
-88.5,-77.5,-41.37446025
-88.5,-76.5,-41.379779875
-88.5,-75.5,-41.3887516875
-88.5,-74.5,-41.401541875
-88.5,-73.5,-41.41751125
-88.5,-72.5,-41.432331875
-88.5,-71.5,-41.444773624999996
-88.5,-70.5,-41.45598325
-88.5,-69.5,-41.468354375
-88.5,-68.5,-41.478902
-88.5,-67.5,-41.483214437499996
-88.5,-66.5,-41.4828700625
-88.5,-65.5,-41.4806216875
-88.5,-64.5,-41.4820358125
-88.5,-63.5,-41.490559375000004
-88.5,-62.5,-41.5030809375
-88.5,-61.5,-41.5130425625
-88.5,-60.5,-41.5215656875
-88.5,-59.5,-41.528777625000004
-88.5,-58.5,-41.532988625
-88.5,-57.5,-41.537517625
-88.5,-56.5,-41.5414228125
-88.5,-55.5,-41.548035750000004
-88.5,-54.5,-41.557371875
-88.5,-53.5,-41.5681163125
-88.5,-52.5,-41.581299125
-88.5,-51.5,-41.590973875
-88.5,-50.5,-41.5986231875
-88.5,-49.5,-41.606486187499996
-88.5,-48.5,-41.6116943125
-88.5,-47.5,-41.6164951875
-88.5,-46.5,-41.62297625
-88.5,-45.5,-41.6295183125
-88.5,-44.5,-41.631052875
-88.5,-43.5,-41.6338405
-88.5,-42.5,-41.638244375
-88.5,-41.5,-41.6434316875
-88.5,-40.5,-41.647073625
-88.5,-39.5,-41.6510315625
-88.5,-38.5,-41.651854625
-88.5,-37.5,-41.6494636875
-88.5,-36.5,-41.6476050625
-88.5,-35.5,-41.644888
-88.5,-34.5,-41.640899625
-88.5,-33.5,-41.6346015
-88.5,-32.5,-41.6288451875
-88.5,-31.5,-41.6258145625
-88.5,-30.5,-41.6227719375
-88.5,-29.5,-41.6173
-88.5,-28.5,-41.61367875
-88.5,-27.5,-41.6111545625
-88.5,-26.5,-41.609507875
-88.5,-25.5,-41.604533375
-88.5,-24.5,-41.5985938125
-88.5,-23.5,-41.5955513125
-88.5,-22.5,-41.5960683125
-88.5,-21.5,-41.6043
-88.5,-20.5,-41.6129855625
-88.5,-19.5,-41.6209904375
-88.5,-18.5,-41.6257325
-88.5,-17.5,-41.6313169375
-88.5,-16.5,-41.6376055
-88.5,-15.5,-41.6493119375
-88.5,-14.5,-41.66360575
-88.5,-13.5,-41.6783226875
-88.5,-12.5,-41.6916895
-88.5,-11.5,-41.704234
-88.5,-10.5,-41.717925
-88.5,-9.5,-41.73150725
-88.5,-8.5,-41.7421874375
-88.5,-7.5,-41.7512725
-88.5,-6.5,-41.75978675
-88.5,-5.5,-41.7697111875
-88.5,-4.5,-41.7810145
-88.5,-3.5,-41.792277125
-88.5,-2.5,-41.8017589375
-88.5,-1.5,-41.80972275
-88.5,-0.5,-41.818075375
-88.5,0.5,-41.8255215
-88.5,1.5,-41.8308705625
-88.5,2.5,-41.836671875
-88.5,3.5,-41.84334375
-88.5,4.5,-41.851767625
-88.5,5.5,-41.860483375
-88.5,6.5,-41.8682230625
-88.5,7.5,-41.8763619375
-88.5,8.5,-41.8875814375
-88.5,9.5,-41.902465625
-88.5,10.5,-41.9178789375
-88.5,11.5,-41.933338375
-88.5,12.5,-41.948222
-88.5,13.5,-41.96218875
-88.5,14.5,-41.9772653125
-88.5,15.5,-41.98798575
-88.5,16.5,-41.9965915
-88.5,17.5,-42.0004066875
-88.5,18.5,-42.003936875
-88.5,19.5,-42.008851125
-88.5,20.5,-42.0092365625
-88.5,21.5,-42.0076798125
-88.5,22.5,-42.005626875
-88.5,23.5,-41.9931115
-88.5,24.5,-41.9752818125
-88.5,25.5,-41.9564095625
-88.5,26.5,-41.9369603125
-88.5,27.5,-41.9173765
-88.5,28.5,-41.900056
-88.5,29.5,-41.88397225
-88.5,30.5,-41.873048
-88.5,31.5,-41.868897375
-88.5,32.5,-41.867225499999996
-88.5,33.5,-41.867187375
-88.5,34.5,-41.8687656875
-88.5,35.5,-41.874409625
-88.5,36.5,-41.887035375
-88.5,37.5,-41.9119270625
-88.5,38.5,-41.9432370625
-88.5,39.5,-41.9780074375
-88.5,40.5,-42.015166625
-88.5,41.5,-42.0529584375
-88.5,42.5,-42.096139875
-88.5,43.5,-42.146007875
-88.5,44.5,-42.1958028125
-88.5,45.5,-42.2408436875
-88.5,46.5,-42.2905064375
-88.5,47.5,-42.3429470625
-88.5,48.5,-42.392762
-88.5,49.5,-42.441429
-88.5,50.5,-42.4919235625
-88.5,51.5,-42.5435285
-88.5,52.5,-42.595854875
-88.5,53.5,-42.6486303125
-88.5,54.5,-42.693857125
-88.5,55.5,-42.738871875
-88.5,56.5,-42.7745955625
-88.5,57.5,-42.803395375
-88.5,58.5,-42.829364687500004
-88.5,59.5,-42.855357375
-88.5,60.5,-42.88145075
-88.5,61.5,-42.9091983125
-88.5,62.5,-42.9363910625
-88.5,63.5,-42.9591046875
-88.5,64.5,-42.973338
-88.5,65.5,-42.973713875
-88.5,66.5,-42.9663400625
-88.5,67.5,-42.960347
-88.5,68.5,-42.9582834375
-88.5,69.5,-42.958107875
-88.5,70.5,-42.95903375
-88.5,71.5,-42.959177
-88.5,72.5,-42.9593915
-88.5,73.5,-42.957795250000004
-88.5,74.5,-42.9548035
-88.5,75.5,-42.9498893125
-88.5,76.5,-42.9407440625
-88.5,77.5,-42.9270438125
-88.5,78.5,-42.910307
-88.5,79.5,-42.894255375
-88.5,80.5,-42.8827325625
-88.5,81.5,-42.88144975
-88.5,82.5,-42.881124875
-88.5,83.5,-42.8746451875
-88.5,84.5,-42.866140375
-88.5,85.5,-42.856243375
-88.5,86.5,-42.847942062499996
-88.5,87.5,-42.842793625
-88.5,88.5,-42.8393156875
-88.5,89.5,-42.8364579375
-88.5,90.5,-42.837381375
-88.5,91.5,-42.8443011875
-88.5,92.5,-42.855032125
-88.5,93.5,-42.8666580625
-88.5,94.5,-42.878479
-88.5,95.5,-42.898386
-88.5,96.5,-42.9206954375
-88.5,97.5,-42.940899125
-88.5,98.5,-42.963856875
-88.5,99.5,-42.9887715625
-88.5,100.5,-43.016987625
-88.5,101.5,-43.0452166875
-88.5,102.5,-43.0741483125
-88.5,103.5,-43.105367875
-88.5,104.5,-43.139515
-88.5,105.5,-43.167115125
-88.5,106.5,-43.1863919375
-88.5,107.5,-43.21513975
-88.5,108.5,-43.248454
-88.5,109.5,-43.2752881875
-88.5,110.5,-43.2969180625
-88.5,111.5,-43.3206291875
-88.5,112.5,-43.350574375
-88.5,113.5,-43.379526874999996
-88.5,114.5,-43.4052849375
-88.5,115.5,-43.43308425
-88.5,116.5,-43.4638054375
-88.5,117.5,-43.4986993125
-88.5,118.5,-43.53063
-88.5,119.5,-43.563314749999996
-88.5,120.5,-43.597848875
-88.5,121.5,-43.6317958125
-88.5,122.5,-43.6669915625
-88.5,123.5,-43.7026684375
-88.5,124.5,-43.739459875
-88.5,125.5,-43.7811299375
-88.5,126.5,-43.825512062499996
-88.5,127.5,-43.8677989375
-88.5,128.5,-43.901967937500004
-88.5,129.5,-43.931681625
-88.5,130.5,-43.960865
-88.5,131.5,-43.99043875
-88.5,132.5,-44.0172531875
-88.5,133.5,-44.0402440625
-88.5,134.5,-44.0604246875
-88.5,135.5,-44.067363625
-88.5,136.5,-44.07354825
-88.5,137.5,-44.0735568125
-88.5,138.5,-44.063854375
-88.5,139.5,-44.04490075
-88.5,140.5,-44.0207843125
-88.5,141.5,-43.991586625
-88.5,142.5,-43.958891875
-88.5,143.5,-43.926075
-88.5,144.5,-43.889120750000004
-88.5,145.5,-43.848786312499996
-88.5,146.5,-43.807801312500004
-88.5,147.5,-43.766764
-88.5,148.5,-43.7253725625
-88.5,149.5,-43.6941725625
-88.5,150.5,-43.6685893125
-88.5,151.5,-43.6493635625
-88.5,152.5,-43.62442025
-88.5,153.5,-43.592042
-88.5,154.5,-43.558623062500004
-88.5,155.5,-43.5264808125
-88.5,156.5,-43.4961758125
-88.5,157.5,-43.467885875
-88.5,158.5,-43.4407845625
-88.5,159.5,-43.4167996875
-88.5,160.5,-43.3936271875
-88.5,161.5,-43.371441875
-88.5,162.5,-43.3483993125
-88.5,163.5,-43.3251770625
-88.5,164.5,-43.298553625000004
-88.5,165.5,-43.270629
-88.5,166.5,-43.243427062500004
-88.5,167.5,-43.2186795
-88.5,168.5,-43.1973161875
-88.5,169.5,-43.1795951875
-88.5,170.5,-43.162984875
-88.5,171.5,-43.1395444375
-88.5,172.5,-43.1161890625
-88.5,173.5,-43.094077125
-88.5,174.5,-43.07543725
-88.5,175.5,-43.052630375
-88.5,176.5,-43.0286645625
-88.5,177.5,-43.0023309375
-88.5,178.5,-42.9750259375
-88.5,179.5,-42.9479371875
-87.5,-179.5,-38.538399625
-87.5,-178.5,-38.417959124999996
-87.5,-177.5,-38.3126830625
-87.5,-176.5,-38.21510875
-87.5,-175.5,-38.120921125
-87.5,-174.5,-38.012969999999996
-87.5,-173.5,-37.869343
-87.5,-172.5,-37.724862625
-87.5,-171.5,-37.5902493125
-87.5,-170.5,-37.455976
-87.5,-169.5,-37.319957
-87.5,-168.5,-37.23525875
-87.5,-167.5,-37.15185675
-87.5,-166.5,-37.067812
-87.5,-165.5,-36.988343375
-87.5,-164.5,-36.91884425
-87.5,-163.5,-36.87170325
-87.5,-162.5,-36.833403625
-87.5,-161.5,-36.802550625
-87.5,-160.5,-36.779632875
-87.5,-159.5,-36.736442625
-87.5,-158.5,-36.6384279375
-87.5,-157.5,-36.5334979375
-87.5,-156.5,-36.426657625
-87.5,-155.5,-36.3349911875
-87.5,-154.5,-36.2478524375
-87.5,-153.5,-36.150289375
-87.5,-152.5,-36.0520420625
-87.5,-151.5,-35.9488941875
-87.5,-150.5,-35.8511980625
-87.5,-149.5,-35.805583125
-87.5,-148.5,-35.8481844375
-87.5,-147.5,-35.8851604375
-87.5,-146.5,-35.9419355625
-87.5,-145.5,-36.0053406875
-87.5,-144.5,-36.073719187500004
-87.5,-143.5,-36.1653643125
-87.5,-142.5,-36.26097675
-87.5,-141.5,-36.362264625
-87.5,-140.5,-36.488169625
-87.5,-139.5,-36.588113
-87.5,-138.5,-36.62092
-87.5,-137.5,-36.6599229375
-87.5,-136.5,-36.701313
-87.5,-135.5,-36.740428125
-87.5,-134.5,-36.7816066875
-87.5,-133.5,-36.835000875
-87.5,-132.5,-36.898264625
-87.5,-131.5,-36.968140375
-87.5,-130.5,-37.036021125
-87.5,-129.5,-37.1027441875
-87.5,-128.5,-37.19731625
-87.5,-127.5,-37.2899065
-87.5,-126.5,-37.380859375
-87.5,-125.5,-37.47521
-87.5,-124.5,-37.5507801875
-87.5,-123.5,-37.591451625
-87.5,-122.5,-37.628194125
-87.5,-121.5,-37.664669875
-87.5,-120.5,-37.7029713125
-87.5,-119.5,-37.751790625
-87.5,-118.5,-37.776786
-87.5,-117.5,-37.796131375
-87.5,-116.5,-37.815195625
-87.5,-115.5,-37.8349205
-87.5,-114.5,-37.8531485
-87.5,-113.5,-37.8669640625
-87.5,-112.5,-37.8795069375
-87.5,-111.5,-37.8910025
-87.5,-110.5,-37.8984263125
-87.5,-109.5,-37.902688187500004
-87.5,-108.5,-37.886894375
-87.5,-107.5,-37.867623375
-87.5,-106.5,-37.8416548125
-87.5,-105.5,-37.812040375
-87.5,-104.5,-37.7698991875
-87.5,-103.5,-37.7107443125
-87.5,-102.5,-37.6529665625
-87.5,-101.5,-37.5945326875
-87.5,-100.5,-37.535520500000004
-87.5,-99.5,-37.4640303125
-87.5,-98.5,-37.3867176875
-87.5,-97.5,-37.3199568125
-87.5,-96.5,-37.254658875
-87.5,-95.5,-37.1889028125
-87.5,-94.5,-37.1389674375
-87.5,-93.5,-37.1023968125
-87.5,-92.5,-37.069915125
-87.5,-91.5,-37.0410546875
-87.5,-90.5,-37.0047919375
-87.5,-89.5,-36.9866331875
-87.5,-88.5,-37.019888125
-87.5,-87.5,-37.06113525
-87.5,-86.5,-37.10257925
-87.5,-85.5,-37.1474816875
-87.5,-84.5,-37.2052395625
