Numb	Lon	Lat	Hcc	Sed	Hc	Type	DLy1	DLy2	DLy3	TLy1	TLy2	TLy3	VP1	VP2	VP3	VS1	VS2	VS3	VPN	VSN	RHO1	RHO2	RHO3	RHON
163	-17.5	89.5	7.7937	2.2211	10.0147	SOCE	4.793	7.3649	10.0147	2.5719	2.5719	2.6498	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
164	-16.5	89.5	7.8514	2.1658	10.0172	SOCE	4.7568	7.3478	10.0172	2.591	2.591	2.6695	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
165	-15.5	89.5	7.8902	2.1297	10.0199	SOCE	4.7335	7.3372	10.0199	2.6038	2.6038	2.6827	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
166	-14.5	89.5	7.9422	2.0805	10.0227	SOCE	4.7015	7.3224	10.0227	2.6209	2.6209	2.7003	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
167	-13.5	89.5	8	2.0256	10.0256	SOCE	4.6656	7.3056	10.0256	2.64	2.64	2.72	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
168	-12.5	89.5	8.0465	1.982	10.0285	SOCE	4.6373	7.2927	10.0285	2.6553	2.6553	2.7358	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
169	-11.5	89.5	8.0484	1.9828	10.0312	SOCE	4.6388	7.2948	10.0312	2.656	2.656	2.7364	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
170	-10.5	89.5	8.0494	1.9843	10.0338	SOCE	4.6407	7.297	10.0338	2.6563	2.6563	2.7368	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
171	-9.5	89.5	8.0505	1.9858	10.0363	SOCE	4.6425	7.2991	10.0363	2.6567	2.6567	2.7372	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
172	-8.5	89.5	8.0516	1.9873	10.0389	SOCE	4.6443	7.3014	10.0389	2.657	2.657	2.7375	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
173	-7.5	89.5	8.0544	1.9872	10.0416	SOCE	4.6451	7.3031	10.0416	2.658	2.658	2.7385	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
174	-6.5	89.5	8.0572	1.9872	10.0443	SOCE	4.646	7.3049	10.0443	2.6589	2.6589	2.7394	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
175	-5.5	89.5	8.0597	1.9873	10.047	SOCE	4.647	7.3067	10.047	2.6597	2.6597	2.7403	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
176	-4.5	89.5	8.0622	1.9873	10.0494	SOCE	4.6478	7.3083	10.0494	2.6605	2.6605	2.7411	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
177	-3.5	89.5	8.0611	1.9905	10.0516	SOCE	4.6507	7.3109	10.0516	2.6602	2.6602	2.7408	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
178	-2.5	89.5	8.0594	1.9941	10.0535	SOCE	4.6537	7.3133	10.0535	2.6596	2.6596	2.7402	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
179	-1.5	89.5	8.058	1.9972	10.0551	SOCE	4.6563	7.3154	10.0551	2.6591	2.6591	2.7397	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
180	-0.5	89.5	8.0568	1.9997	10.0565	SOCE	4.6585	7.3172	10.0565	2.6587	2.6587	2.7393	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
181	0.5	89.5	8.0569	2.0009	10.0578	SOCE	4.6596	7.3184	10.0578	2.6588	2.6588	2.7394	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
182	1.5	89.5	8.058	2.001	10.0589	SOCE	4.6601	7.3192	10.0589	2.6591	2.6591	2.7397	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
183	2.5	89.5	8.0589	2.0012	10.0601	SOCE	4.6606	7.32	10.0601	2.6594	2.6594	2.74	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
184	3.5	89.5	8.0601	2.0011	10.0611	SOCE	4.6609	7.3207	10.0611	2.6598	2.6598	2.7404	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
185	4.5	89.5	8.062	2.0002	10.0622	SOCE	4.6607	7.3211	10.0622	2.6605	2.6605	2.7411	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
186	5.5	89.5	8.0638	1.9994	10.0632	SOCE	4.6605	7.3215	10.0632	2.6611	2.6611	2.7417	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
187	6.5	89.5	8.0656	1.9986	10.0642	SOCE	4.6602	7.3219	10.0642	2.6616	2.6616	2.7423	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
188	7.5	89.5	8.0672	1.9978	10.0651	SOCE	4.66	7.3222	10.0651	2.6622	2.6622	2.7429	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
189	8.5	89.5	8.0687	1.9971	10.0658	SOCE	4.6598	7.3225	10.0658	2.6627	2.6627	2.7434	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
190	9.5	89.5	8.0696	1.9969	10.0665	SOCE	4.6599	7.3229	10.0665	2.663	2.663	2.7437	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
191	10.5	89.5	8.07	1.997	10.0671	SOCE	4.6601	7.3232	10.0671	2.6631	2.6631	2.7438	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
192	11.5	89.5	8.0701	1.9974	10.0674	SOCE	4.6605	7.3236	10.0674	2.6631	2.6631	2.7438	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
193	12.5	89.5	8.0707	1.997	10.0677	SOCE	4.6603	7.3237	10.0677	2.6633	2.6633	2.744	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
194	13.5	89.5	8.0713	1.9964	10.0677	SOCE	4.66	7.3235	10.0677	2.6635	2.6635	2.7442	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
195	14.5	89.5	8.0719	1.9957	10.0676	SOCE	4.6595	7.3232	10.0676	2.6637	2.6637	2.7445	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
196	15.5	89.5	8.0721	1.9952	10.0674	SOCE	4.659	7.3228	10.0674	2.6638	2.6638	2.7445	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
197	16.5	89.5	8.0719	1.995	10.0669	SOCE	4.6587	7.3225	10.0669	2.6637	2.6637	2.7445	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
198	17.5	89.5	8.072	1.9944	10.0664	SOCE	4.6582	7.3219	10.0664	2.6637	2.6637	2.7445	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
199	18.5	89.5	8.0719	1.9938	10.0657	SOCE	4.6575	7.3212	10.0657	2.6637	2.6637	2.7444	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
200	19.5	89.5	8.0715	1.9934	10.0649	SOCE	4.657	7.3206	10.0649	2.6636	2.6636	2.7443	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
