RTP,LAB,Curie,elevation,gradient,Moho,Magnetic,Ridge,Susceptibility,tectonicunit,Topo,Transform,Trench,Volcanos,YoungRift,VP1,VP2,VP3,VS1,VS2,VS3,lat,lon,is_land
-3.928477375,190.4494,40.29446,,,40,132.63916,2719,0.01130117,,-149.4916,3121,3240,445.43024,600.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-82,TRUE
-3.9212917,190.58838,40.329815,,,40,104.45175,2720,0.011301136,,-113.318085,3120,3240,446.40045,601.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-81,TRUE
-3.91392125,190.72766,40.36567,,,40,121.767075,2721,0.011301091,,-112.50731,3120,3239,447.37,602.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-80,TRUE
-3.90633065,190.8672,40.40197,,,40,90.38187,2722,0.011301042,,-118.87758,3120,3238,448.33893,603.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-79,TRUE
-3.8985398,191.0069,40.438663,,,40,61.019505,2723,0.011300988,,-119.60526,3119,3237,449.30664,604,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-78,TRUE
-3.89053535,191.14667,40.47569,,,40,39.955772,2724,0.01130093,,-127.00937,3119,3236,450.27283,605,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-77,TRUE
-3.88231175,191.2864,40.51298,,,40,32.985405,2725,0.011300876,,-172.73372,3119,3236,451.23767,606,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-76,TRUE
-3.8738869,191.42607,40.550488,,,40,62.492867,2726,0.011300819,,-234.88438,3118,3235,452.2001,606.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-75,TRUE
-3.865245825,191.56557,40.58815,,,40,48.57114,2727,0.011300753,,-235.53831,3118,3234,453.16025,607.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-74,TRUE
-3.856460425,191.7048,40.625904,,,40,8.633881,2728,0.011300685,,-183.32281,3118,3234,454.11813,608.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-73,TRUE
-3.8474431,191.84375,40.663692,,,40,23.339806,2729,0.011300617,,-117.96292,3117,3233,455.07346,609.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-72,TRUE
-3.8382437,191.98227,40.701458,,,40,73.741745,2729,0.011300551,,-32.623543,3117,3232,456.02563,610.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-71,TRUE
-3.8288337,192.12036,40.73914,,,40,4.6770453,2730,0.011300494,,0.525462,3117,3231,456.97433,611.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-70,TRUE
-3.8192502,192.25793,40.776688,,,40,-9.272941,2731,0.01130044,,-63.6746,3116,3231,457.91934,612.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-69,TRUE
-3.80948615,192.39491,40.81404,,,40,21.48576,2732,0.011300381,,-144.36484,3116,3230,458.86072,613.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-68,TRUE
-3.79953665,192.53125,40.851143,,,40,10.337251,2733,0.011300325,,-187.09279,3116,3230,459.7981,614.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-67,TRUE
-3.789375875,192.6669,40.887947,,,40,-1.0841162,2734,0.011300274,,-174.02261,3116,3229,460.7312,615.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-66,TRUE
-3.779073425,192.80182,40.92439,,,40,-30.38217,2735,0.011300228,,-111.40106,3116,3228,461.65976,616.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-65,TRUE
